profile_index,experiment_id,plurality_winner,plurality_vse,plurality_winner_rank,plurality_regret,plurality_condorcet_winner_exists,plurality_is_condorcet_winner,plurality_has_cycle,plurality_cycle_type,borda_winner,borda_vse,borda_winner_rank,borda_regret,borda_condorcet_winner_exists,borda_is_condorcet_winner,borda_has_cycle,borda_cycle_type,irv_winner,irv_vse,irv_winner_rank,irv_regret,irv_condorcet_winner_exists,irv_is_condorcet_winner,irv_has_cycle,irv_cycle_type,config_experiment_id,config_created_at,config_n_profiles,config_n_voters,config_n_candidates,config_voting_rules,config_geometry_method,config_geometry_n_dim,config_geometry_phi,config_manipulation_enabled,config_manipulation_fraction,config_manipulation_strategy,config_utility_function,config_utility_distance_metric,config_utility_sigma_factor,config_rng_seed,config_epsilon,agg_n_profiles,agg_vse_mean,agg_vse_std,agg_vse_min,agg_vse_max,agg_vse_median,agg_utility_mean,agg_utility_std,agg_regret_mean,agg_regret_max,agg_winner_rank_1st_pct,agg_winner_rank_2nd_pct,agg_winner_rank_3rd_pct,agg_condorcet_winner_pct,agg_condorcet_efficiency,agg_cycle_percentage,agg_type1_percentage,agg_type2_percentage,compute_time_seconds,saved_at
0,beb22357,2,1.0,0,0.0,True,True,False,0,2,1.0,0,0.0,True,True,False,0,2,1.0,0,0.0,True,True,False,0,beb22357,2025-12-30T17:33:19.186844,50,10,3,"['plurality', 'borda', 'irv']",uniform,2,0.5,False,0.2,compromise,gaussian,l2,0.5,42,1e-09,50,0.8798108422753418,0.2766601645301254,0.0,1.0,1.0,0.7998262109376713,0.05330270275442948,0.01208699733066978,0.10410666155697834,78.0,18.0,4.0,80.0,87.5,20.0,0.0,0.0,0.0341482000076212,2025-12-30T17:33:23.953642
1,beb22357,2,1.0,0,0.0,True,True,False,0,1,0.9323010903182956,1,0.007313292975290375,True,False,False,0,2,1.0,0,0.0,True,True,False,0,beb22357,2025-12-30T17:33:19.186844,50,10,3,"['plurality', 'borda', 'irv']",uniform,2,0.5,False,0.2,compromise,gaussian,l2,0.5,42,1e-09,50,0.8798108422753418,0.2766601645301254,0.0,1.0,1.0,0.7998262109376713,0.05330270275442948,0.01208699733066978,0.10410666155697834,78.0,18.0,4.0,80.0,87.5,20.0,0.0,0.0,0.0341482000076212,2025-12-30T17:33:23.953642
2,beb22357,1,1.0,0,0.0,False,True,True,0,2,0.641996334781903,1,0.030922211578145453,False,True,True,0,2,0.641996334781903,1,0.030922211578145453,False,True,True,0,beb22357,2025-12-30T17:33:19.186844,50,10,3,"['plurality', 'borda', 'irv']",uniform,2,0.5,False,0.2,compromise,gaussian,l2,0.5,42,1e-09,50,0.8798108422753418,0.2766601645301254,0.0,1.0,1.0,0.7998262109376713,0.05330270275442948,0.01208699733066978,0.10410666155697834,78.0,18.0,4.0,80.0,87.5,20.0,0.0,0.0,0.0341482000076212,2025-12-30T17:33:23.953642
3,beb22357,0,1.0,0,0.0,False,True,True,0,1,0.23281380523456793,1,0.06597347701405876,False,True,True,0,2,0.0,2,0.08599408782926576,False,True,True,0,beb22357,2025-12-30T17:33:19.186844,50,10,3,"['plurality', 'borda', 'irv']",uniform,2,0.5,False,0.2,compromise,gaussian,l2,0.5,42,1e-09,50,0.8798108422753418,0.2766601645301254,0.0,1.0,1.0,0.7998262109376713,0.05330270275442948,0.01208699733066978,0.10410666155697834,78.0,18.0,4.0,80.0,87.5,20.0,0.0,0.0,0.0341482000076212,2025-12-30T17:33:23.953642
4,beb22357,0,1.0,0,0.0,True,True,False,0,0,1.0,0,0.0,True,True,False,0,0,1.0,0,0.0,True,True,False,0,beb22357,2025-12-30T17:33:19.186844,50,10,3,"['plurality', 'borda', 'irv']",uniform,2,0.5,False,0.2,compromise,gaussian,l2,0.5,42,1e-09,50,0.8798108422753418,0.2766601645301254,0.0,1.0,1.0,0.7998262109376713,0.05330270275442948,0.01208699733066978,0.10410666155697834,78.0,18.0,4.0,80.0,87.5,20.0,0.0,0.0,0.0341482000076212,2025-12-30T17:33:23.953642
5,beb22357,2,1.0,0,0.0,True,True,False,0,2,1.0,0,0.0,True,True,False,0,2,1.0,0,0.0,True,True,False,0,beb22357,2025-12-30T17:33:19.186844,50,10,3,"['plurality', 'borda', 'irv']",uniform,2,0.5,False,0.2,compromise,gaussian,l2,0.5,42,1e-09,50,0.8798108422753418,0.2766601645301254,0.0,1.0,1.0,0.7998262109376713,0.05330270275442948,0.01208699733066978,0.10410666155697834,78.0,18.0,4.0,80.0,87.5,20.0,0.0,0.0,0.0341482000076212,2025-12-30T17:33:23.953642
6,beb22357,2,0.0,2,0.10410666155697834,True,False,False,0,0,1.0,0,0.0,True,True,False,0,2,0.0,2,0.10410666155697834,True,False,False,0,beb22357,2025-12-30T17:33:19.186844,50,10,3,"['plurality', 'borda', 'irv']",uniform,2,0.5,False,0.2,compromise,gaussian,l2,0.5,42,1e-09,50,0.8798108422753418,0.2766601645301254,0.0,1.0,1.0,0.7998262109376713,0.05330270275442948,0.01208699733066978,0.10410666155697834,78.0,18.0,4.0,80.0,87.5,20.0,0.0,0.0,0.0341482000076212,2025-12-30T17:33:23.953642
7,beb22357,0,1.0,0,0.0,True,True,False,0,0,1.0,0,0.0,True,True,False,0,0,1.0,0,0.0,True,True,False,0,beb22357,2025-12-30T17:33:19.186844,50,10,3,"['plurality', 'borda', 'irv']",uniform,2,0.5,False,0.2,compromise,gaussian,l2,0.5,42,1e-09,50,0.8798108422753418,0.2766601645301254,0.0,1.0,1.0,0.7998262109376713,0.05330270275442948,0.01208699733066978,0.10410666155697834,78.0,18.0,4.0,80.0,87.5,20.0,0.0,0.0,0.0341482000076212,2025-12-30T17:33:23.953642
8,beb22357,2,1.0,0,0.0,True,True,False,0,2,1.0,0,0.0,True,True,False,0,2,1.0,0,0.0,True,True,False,0,beb22357,2025-12-30T17:33:19.186844,50,10,3,"['plurality', 'borda', 'irv']",uniform,2,0.5,False,0.2,compromise,gaussian,l2,0.5,42,1e-09,50,0.8798108422753418,0.2766601645301254,0.0,1.0,1.0,0.7998262109376713,0.05330270275442948,0.01208699733066978,0.10410666155697834,78.0,18.0,4.0,80.0,87.5,20.0,0.0,0.0,0.0341482000076212,2025-12-30T17:33:23.953642
9,beb22357,2,1.0,0,0.0,True,True,False,0,2,1.0,0,0.0,True,True,False,0,2,1.0,0,0.0,True,True,False,0,beb22357,2025-12-30T17:33:19.186844,50,10,3,"['plurality', 'borda', 'irv']",uniform,2,0.5,False,0.2,compromise,gaussian,l2,0.5,42,1e-09,50,0.8798108422753418,0.2766601645301254,0.0,1.0,1.0,0.7998262109376713,0.05330270275442948,0.01208699733066978,0.10410666155697834,78.0,18.0,4.0,80.0,87.5,20.0,0.0,0.0,0.0341482000076212,2025-12-30T17:33:23.953642
10,beb22357,1,1.0,0,0.0,True,True,False,0,1,1.0,0,0.0,True,True,False,0,1,1.0,0,0.0,True,True,False,0,beb22357,2025-12-30T17:33:19.186844,50,10,3,"['plurality', 'borda', 'irv']",uniform,2,0.5,False,0.2,compromise,gaussian,l2,0.5,42,1e-09,50,0.8798108422753418,0.2766601645301254,0.0,1.0,1.0,0.7998262109376713,0.05330270275442948,0.01208699733066978,0.10410666155697834,78.0,18.0,4.0,80.0,87.5,20.0,0.0,0.0,0.0341482000076212,2025-12-30T17:33:23.953642
11,beb22357,0,1.0,0,0.0,True,True,False,0,0,1.0,0,0.0,True,True,False,0,0,1.0,0,0.0,True,True,False,0,beb22357,2025-12-30T17:33:19.186844,50,10,3,"['plurality', 'borda', 'irv']",uniform,2,0.5,False,0.2,compromise,gaussian,l2,0.5,42,1e-09,50,0.8798108422753418,0.2766601645301254,0.0,1.0,1.0,0.7998262109376713,0.05330270275442948,0.01208699733066978,0.10410666155697834,78.0,18.0,4.0,80.0,87.5,20.0,0.0,0.0,0.0341482000076212,2025-12-30T17:33:23.953642
